UID,Category,Description,predicted_category,probability
2a5cffb67209478ead2adb02f52299e3,HEAD-AND-NECKWEAR, merino lightweight neck tube black medium,SOCKS,0.293248
2ec1d3023cc04be988c20a686ae9e50b,HEAD-AND-NECKWEAR, merino lightweight neck tube gray medium,SOCKS,0.363584
1e21d454111b41308db8ca0777682857,HEAD-AND-NECKWEAR, silver gray medium,CHAIN,0.215827
e02d242e0b3a4a6d8e3c6af2985200fc,HEAD-AND-NECKWEAR, medium,SOCKS,0.060387
fbd91e1552ff448c89faa1010e9d75eb,HEAD-AND-NECKWEAR, medium,SOCKS,0.060387
4d87b3db4c8c49b19c4f1a6827167ff1,HEAD-AND-NECKWEAR, medium,SOCKS,0.060387
2629103ad479487e83a0232b55f11e6e,HEAD-AND-NECKWEAR, transfer lite white universal,AXLE,0.100875
c0605c4308484415b62f3c34c0a15f91,HEAD-AND-NECKWEAR, transfer cap black universal,CAR-RACK,0.057854
d7493141de5640a7bf0edda74f525e9a,HEAD-AND-NECKWEAR, merino hat black universal,SOCKS,0.061813
812e358f51f443dd812fa3064d3d4984,HEAD-AND-NECKWEAR, cap black universal,STEM,0.061396
a20facee7ec541e58ad541c8a3f525f3,HEAD-AND-NECKWEAR, nrth black universal,SOCKS,0.059939
5873532c62d14e2c8a9d13290be73dc5,HEAD-AND-NECKWEAR, nrth lightweight cap black small medium,SOCKS,0.489191
68f8d2c8b1e14fd1a124961d0c184650,HEAD-AND-NECKWEAR, nrth lightweight cap black large large,SOCKS,0.291464
34e0eb0200eb4229a2a7692f8c00697e,HEAD-AND-NECKWEAR, nrth black small medium,SOCKS,0.338922
aa54c80d23a547c889a0251c12ac553e,BAG, hip pack green,SHORTS,0.193643
fffeba544bcc46aaaaa21c914bb47294,BAG, hip pack one size black,SHORTS,0.260336
598cdb4d59e24837aaf27210f9223d91,BAG, hip pack green,SHORTS,0.193643
881a3a387826429fbc6d4a05567bc0b7,BAG, hip pack black,SHORTS,0.128955
ceff1439d0704a7aacdcef58716e3ec0,BAG, hip pack black,SHORTS,0.128955
d133672d4e284de0925a750aa5e63ca2,BAG, podium flow belt hip pack black,SADDLE,0.141301
558d7888030342b9946f840680a18596,BAG, pack,SPOKE,0.103649
7b3353f827734a06bba1ef0470b66286,BAG, pack black,GRIPS,0.073861
9dbabd223137461abd650c8576240126,BAG, pack lime,SPOKE,0.106246
c5d600354cde4c11816884d1e8712cbd,BAG, pack black,GRIPS,0.073861
826fcdbfb98c4f558a47d6e743f26eb5,BAG, trail edition hip pack black,GRIPS,0.229319
5028dbdd8afa4db4b21484b1fa8726a6,BAG, pack,SPOKE,0.103649
f4c25fc95e0a4262928cdf9222845c57,BAG, design mountain red,CRANKSET,0.106063
7cae41fe758047fba225ede99d0a96b2,BAG, protector blue,JACKET,0.151012
acccc4c7e14341bc8868400c35d08e8c,BAG, protector blue,JACKET,0.151012
bfb0939405714cd086de2ca6332aa0db,BASE-LAYERS-AND-WARMTH, women transfer wool small black,SOCKS,0.146238
d1c40d7bcf4f4fbe93ad8329e52f3d11,BASE-LAYERS-AND-WARMTH, women transfer wool short sleeve large black,JERSEY,0.740008
b374d0602ebb42f39b864932d336ba09,BASE-LAYERS-AND-WARMTH, women transfer wool long sleeve large black,JERSEY,0.578080
43db7600f68b4fe2b9005c7cc8b2f3ee,BASE-LAYERS-AND-WARMTH, women transfer small black,SHOES,0.108324
c97f22b25f3849ef857f189616ec0cdc,BASE-LAYERS-AND-WARMTH, women transfer large black,SHORTS,0.161273
e32bccb77f634c98a1dd48f7320cf026,BASE-LAYERS-AND-WARMTH, men transfer wool medium black,SOCKS,0.179215
5365bad5e2064fca9b2435181d742bcd,BASE-LAYERS-AND-WARMTH, women transfer wool medium black,SOCKS,0.169828
6f378f6333544561983887b7222ac197,BASE-LAYERS-AND-WARMTH, men merino large,GLOVES,0.119753
fabc095b0b4c4c00b56dc3c0d96d91cb,BASE-LAYERS-AND-WARMTH, men merino medium,SOCKS,0.141186
262df23d6a1b430898665d35feb0a6f7,BASE-LAYERS-AND-WARMTH, men merino large,GLOVES,0.119753
8804ce138f7c47e4b7776afb455910af,BASE-LAYERS-AND-WARMTH, men cargo base medium black,BOTTLE-CAGE,0.200653
e462b118a19e4935ae3ea1d44f86fb4d,BASE-LAYERS-AND-WARMTH, men cargo base small black,BOTTLE-CAGE,0.267600
02e13663444c415b9d8df4bf7661178f,BASE-LAYERS-AND-WARMTH, men cargo base small white,JERSEY,0.224298
9b35c5c6fd0a43e3bbc174210f7941da,BASE-LAYERS-AND-WARMTH, sun sleeve large white,JERSEY,0.641593
3069036ce6454423bcb8ab15ba1b3058,BASE-LAYERS-AND-WARMTH, men thermal medium black,SHORTS,0.239542
03d4c2aef47347beab02ee1db21e9998,BASE-LAYERS-AND-WARMTH, men thermal small black,SHORTS,0.163167
809260630e3f47f0a09a728a18198ff2,BASE-LAYERS-AND-WARMTH, men thermal large black,SHORTS,0.355697
18ed02dbc7974d19ba9f0569eaa135ff,BASE-LAYERS-AND-WARMTH, men thermal large black,SHORTS,0.355697
c51708aa1bb040429d5ffa40110b7f8d,BASE-LAYERS-AND-WARMTH, men thermal medium black,SHORTS,0.239542
672e52e93fb146e3874144339622dc59,BASE-LAYERS-AND-WARMTH, men thermal small black,SHORTS,0.163167
4f4f26cf4b4a4173b5166fa43bfb124c,BASE-LAYERS-AND-WARMTH, men transfer small black,SHOES,0.128355
590e4215d0e246b3ab92ea96f58845c5,BASE-LAYERS-AND-WARMTH, women cargo base large black,BOTTLE-CAGE,0.231081
040c46b4a9864b5ea5f4949cd904da15,BASE-LAYERS-AND-WARMTH, women cargo base small black,BOTTLE-CAGE,0.258133
84cebbdda598432ba716d2615b061a29,BASE-LAYERS-AND-WARMTH, women thermal large black,SHORTS,0.366965
913efcb11a234368a3f4221b684510ee,BASE-LAYERS-AND-WARMTH, women thermal medium black,SHORTS,0.220268
2e34bba70fcf435781ac40f61ddea170,BASE-LAYERS-AND-WARMTH, women thermal large black,SHORTS,0.366965
457b089b3262407b9534f28d42ab5c0d,BASE-LAYERS-AND-WARMTH, women thermal large black,SHORTS,0.366965
c732546297064bc0b1f6b0b5b6152a00,BASE-LAYERS-AND-WARMTH, women thermal small black,SHORTS,0.159686
7c4d258477e841519cf7dd9cb9cdace9,BASE-LAYERS-AND-WARMTH, women thermal cycling large black,SHORTS,0.526421
bfd8de30ffdd41358a7d16c6a76c7a14,BASE-LAYERS-AND-WARMTH, women thermal large black,SHORTS,0.366965
afa996fecc1d46a2892b66c40caeb1ce,BASE-LAYERS-AND-WARMTH, men merino large,GLOVES,0.119753
baaddaf8dfdc4e23ab3b57d187cdbb3b,BASE-LAYERS-AND-WARMTH, men merino medium,SOCKS,0.141186
cae92b5095f241cc9317928eded7c6c4,SHIFT-CONTROLS, sram mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.969711
8a679e42a4454193ad87f06816e99c81,SHIFT-CONTROLS, mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.955243
caa1ea041ea349169fcbf4535cf229e9,SHIFT-CONTROLS, shimano right clamp band speed shifter black,SHIFT-CONTROLS-RIGHT,0.973792
4586e9150d924df89d239efe20fa14c1,SHIFT-CONTROLS, shimano plus mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.853391
5adb3e5ec8744a8c98c3e2e08f3deb2d,SHIFT-CONTROLS, shimano plus mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.853391
3fdaca9d71c843c58bd6e27bfaeec520,SHIFT-CONTROLS, shimano plus mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.853391
970fbe6f74b54f8aa9b53eb0646d9f87,SHIFT-CONTROLS, sram eagle mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.965099
2b631a985abc41369c364f123a29502b,SHIFT-CONTROLS, sram comp mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.947632
7566f2e145bf42bdb70acb0b97d46751,SHIFT-CONTROLS, sram comp mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.947632
d037017b3b564750bbf7af47c81c1cb0,SHIFT-CONTROLS, sram comp mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.947632
82a674cb5f1a4cf3b7b94b20a7ba219d,SHIFT-CONTROLS, shimano mechanical right shifter speed,SHIFT-CONTROLS-RIGHT,0.940727
26cfb429517647bbbda26dccd1d15eaa,SHIFT-CONTROLS, shimano mechanical right brake speed,SHIFT-CONTROLS-RIGHT,0.907886
963bc73c50d6444993ab50d45dabb664,SHIFT-CONTROLS, sram rival mechanical right brake speed,SHIFT-CONTROLS-RIGHT,0.961740
